filename,status,source_sheet,plot no,block/rep,bay,row,Treatment Simple,Variety,2023-11-20 00:00:00,2023-11-27 00:00:00,2023-11-30 00:00:00,2023-12-14 00:00:00,comp disp,f at break,spike angle,ped curvature ,leaf sheath cover,spike Length,spike weight,ped length,internode Length,dist from break,ped dm b,ped dm m,ped dm t,dm at node 2,freq of break at spike,brk at node 2,mean_wall_thickness_mm,median_wall_thickness_mm,mean_per_mm_intensity,median_per_mm_intensity
X-040951.tif,success,Cooke Plains 2023,3101,1,1,1,37,Beast,0,0.0,0,0.0,32.182,0.708,81.0,177.6,0.64,6.26,1.076,16.740000000000002,13.279999999999998,2.7599999999999993,1.702,1.65,1.11,2.37,0.0,0.0,0.3610569511445172,0.3707746453583721,2615.0807531603245,2569.5086206896553
X-040952.tif,success,Cooke Plains 2023,3101,1,1,1,37,Beast,0,0.0,0,0.0,32.182,0.708,81.0,177.6,0.64,6.26,1.076,16.740000000000002,13.279999999999998,2.7599999999999993,1.702,1.65,1.11,2.37,0.0,0.0,0.2974989494408328,0.286992611570786,2474.557040515439,2454.263565891473
X-040953.tif,success,Cooke Plains 2023,3101,1,1,1,37,Beast,0,0.0,0,0.0,32.182,0.708,81.0,177.6,0.64,6.26,1.076,16.740000000000002,13.279999999999998,2.7599999999999993,1.702,1.65,1.11,2.37,0.0,0.0,0.3139504207526036,0.316446031179466,2508.385990262977,2508.0628142881915
X-040954.tif,success,Cooke Plains 2023,3101,1,1,1,37,Beast,0,0.0,0,0.0,32.182,0.708,81.0,177.6,0.64,6.26,1.076,16.740000000000002,13.279999999999998,2.7599999999999993,1.702,1.65,1.11,2.37,0.0,0.0,0.3467450942788057,0.3391626851928941,2620.996029742629,2587.0805412371137
X-040955.tif,success,Cooke Plains 2023,3101,1,1,1,37,Beast,0,0.0,0,0.0,32.182,0.708,81.0,177.6,0.64,6.26,1.076,16.740000000000002,13.279999999999998,2.7599999999999993,1.702,1.65,1.11,2.37,0.0,0.0,0.4938775676745238,0.4891723648478367,3432.139515520401,3397.5984555984555
X-040956.tif,success,Cooke Plains 2023,3104,1,1,2,37,RGT Planet,0,0.0,0,0.0,14.356666666666667,0.4833333333333333,87.33333333333333,178.33333333333334,0.0,7.766666666666667,1.04,9.733333333333334,9.8,1.8333333333333333,1.4833333333333334,1.3533333333333335,0.9833333333333334,2.286666666666666,2.0,0.0,0.3296693723504614,0.3416893486480386,2551.2958028584026,2522.023751955625
X-040957.tif,success,Cooke Plains 2023,3104,1,1,2,37,RGT Planet,0,0.0,0,0.0,14.356666666666667,0.4833333333333333,87.33333333333333,178.33333333333334,0.0,7.766666666666667,1.04,9.733333333333334,9.8,1.8333333333333333,1.4833333333333334,1.3533333333333335,0.9833333333333334,2.286666666666666,2.0,0.0,0.3306381488028321,0.337244741369587,2443.4160290869427,2415.021276595745
X-040958.tif,success,Cooke Plains 2023,3104,1,1,2,37,RGT Planet,0,0.0,0,0.0,14.356666666666667,0.4833333333333333,87.33333333333333,178.33333333333334,0.0,7.766666666666667,1.04,9.733333333333334,9.8,1.8333333333333333,1.4833333333333334,1.3533333333333335,0.9833333333333334,2.286666666666666,2.0,0.0,0.362955162515686,0.3540958895411266,2609.4174116989016,2541.6013071895427
X-040959.tif,success,Cooke Plains 2023,3104,1,1,2,37,RGT Planet,0,0.0,0,0.0,14.356666666666667,0.4833333333333333,87.33333333333333,178.33333333333334,0.0,7.766666666666667,1.04,9.733333333333334,9.8,1.8333333333333333,1.4833333333333334,1.3533333333333335,0.9833333333333334,2.286666666666666,2.0,0.0,0.3253181865404512,0.3229863054064329,2576.5482129688667,2539.690909090909
X-040960.tif,success,Cooke Plains 2023,3104,1,1,2,37,RGT Planet,0,0.0,0,0.0,14.356666666666667,0.4833333333333333,87.33333333333333,178.33333333333334,0.0,7.766666666666667,1.04,9.733333333333334,9.8,1.8333333333333333,1.4833333333333334,1.3533333333333335,0.9833333333333334,2.286666666666666,2.0,0.0,0.3342262117021051,0.351027021248871,2601.361164251378,2582.682634730539
X-040961.tif,success,Cooke Plains 2023,3107,1,1,3,37,Cyclops,0,0.0,0,0.0,30.884000000000004,0.7,161.8,178.4,0.0,4.640000000000001,0.778,8.12,9.06,2.78,1.5339999999999998,1.31,1.092,1.942,1.0,0.0,0.3791010210715846,0.3649715026191056,3052.8737518179264,2985.803191489362
X-040962.tif,success,Cooke Plains 2023,3107,1,1,3,37,Cyclops,0,0.0,0,0.0,30.884000000000004,0.7,161.8,178.4,0.0,4.640000000000001,0.778,8.12,9.06,2.78,1.5339999999999998,1.31,1.092,1.942,1.0,0.0,0.321046975831526,0.2771901793718389,2479.4286309182485,2452.125678119349
X-040963.tif,success,Cooke Plains 2023,3107,1,1,3,37,Cyclops,0,0.0,0,0.0,30.884000000000004,0.7,161.8,178.4,0.0,4.640000000000001,0.778,8.12,9.06,2.78,1.5339999999999998,1.31,1.092,1.942,1.0,0.0,0.3293833735993951,0.3347927925427079,2566.933265117512,2486.073684210526
X-040964.tif,success,Cooke Plains 2023,3107,1,1,3,37,Cyclops,0,0.0,0,0.0,30.884000000000004,0.7,161.8,178.4,0.0,4.640000000000001,0.778,8.12,9.06,2.78,1.5339999999999998,1.31,1.092,1.942,1.0,0.0,0.2971368963059159,0.2978066613204897,2593.0291944452056,2572.0650406504064
X-040965.tif,success,Cooke Plains 2023,3107,1,1,3,37,Cyclops,0,0.0,0,0.0,30.884000000000004,0.7,161.8,178.4,0.0,4.640000000000001,0.778,8.12,9.06,2.78,1.5339999999999998,1.31,1.092,1.942,1.0,0.0,0.3391614247207929,0.329047953834269,2564.793005082594,2500.224719101124
X-040966.tif,success,Cooke Plains 2023,3110,1,1,4,37,Commodus CL,0,0.0,0,0.0,31.6,0.56,64.0,172.4,0.72,6.459999999999999,1.34,14.32,10.96,2.4000000000000004,1.548,1.5924999999999998,0.97,2.1979999999999995,1.0,0.0,0.3138872722573668,0.3126396620835519,2587.0450199400025,2600.715042050866
X-040967.tif,success,Cooke Plains 2023,3110,1,1,4,37,Commodus CL,0,0.0,0,0.0,31.6,0.56,64.0,172.4,0.72,6.459999999999999,1.34,14.32,10.96,2.4000000000000004,1.548,1.5924999999999998,0.97,2.1979999999999995,1.0,0.0,0.2976096533910928,0.2936877824318515,2636.806064961638,2632.978696741855
X-040968.tif,success,Cooke Plains 2023,3110,1,1,4,37,Commodus CL,0,0.0,0,0.0,31.6,0.56,64.0,172.4,0.72,6.459999999999999,1.34,14.32,10.96,2.4000000000000004,1.548,1.5924999999999998,0.97,2.1979999999999995,1.0,0.0,0.2559985953410438,0.2565751116243914,2507.677491569515,2518.212121212121
X-040969.tif,success,Cooke Plains 2023,3110,1,1,4,37,Commodus CL,0,0.0,0,0.0,31.6,0.56,64.0,172.4,0.72,6.459999999999999,1.34,14.32,10.96,2.4000000000000004,1.548,1.5924999999999998,0.97,2.1979999999999995,1.0,0.0,0.2785646897167727,0.2869731438664428,2626.1620529400275,2659.2734375
X-040970.tif,success,Cooke Plains 2023,3110,1,1,4,37,Commodus CL,0,0.0,0,0.0,31.6,0.56,64.0,172.4,0.72,6.459999999999999,1.34,14.32,10.96,2.4000000000000004,1.548,1.5924999999999998,0.97,2.1979999999999995,1.0,0.0,0.3001159098921167,0.2916881466879233,2661.2151954654523,2628.9382852791523
X-040971.tif,success,Cooke Plains 2023,3113,1,1,5,37,Compass,0,0.0,0,0.0,35.644,0.356,77.6,176.4,0.38,4.94,1.052,12.88,9.26,1.3199999999999998,1.512,1.358,0.9200000000000002,2.098,1.0,0.0,0.270291383992038,0.2703052922667458,2552.8179719290188,2562.2535211267605
X-040972.tif,success,Cooke Plains 2023,3113,1,1,5,37,Compass,0,0.0,0,0.0,35.644,0.356,77.6,176.4,0.38,4.94,1.052,12.88,9.26,1.3199999999999998,1.512,1.358,0.9200000000000002,2.098,1.0,0.0,0.2890932139744103,0.287946480624686,2623.9029478208167,2605.7446600147823
X-040973.tif,success,Cooke Plains 2023,3113,1,1,5,37,Compass,0,0.0,0,0.0,35.644,0.356,77.6,176.4,0.38,4.94,1.052,12.88,9.26,1.3199999999999998,1.512,1.358,0.9200000000000002,2.098,1.0,0.0,0.2611599088382669,0.2580330017570214,2456.995713911104,2442.273992063881
X-040974.tif,success,Cooke Plains 2023,3113,1,1,5,37,Compass,0,0.0,0,0.0,35.644,0.356,77.6,176.4,0.38,4.94,1.052,12.88,9.26,1.3199999999999998,1.512,1.358,0.9200000000000002,2.098,1.0,0.0,0.2731925875202581,0.2725516293907231,2514.334994249375,2511.0
X-040975.tif,success,Cooke Plains 2023,3113,1,1,5,37,Compass,0,0.0,0,0.0,35.644,0.356,77.6,176.4,0.38,4.94,1.052,12.88,9.26,1.3199999999999998,1.512,1.358,0.9200000000000002,2.098,1.0,0.0,0.3028552420538573,0.3013663557222484,2602.7563665026155,2589.697948037364
X-040976.tif,success_rerun_ruptures,Cooke Plains 2023,3116,1,1,6,37,Minotaur,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.3690390013786512,0.3630119880502238,2986.8764647547164,2926.2247165008102
X-040977.tif,success,Cooke Plains 2023,3116,1,1,6,37,Minotaur,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.3688314117270719,0.3625212687648368,3347.3658997864145,3310.4857014263953
X-040978.tif,success,Cooke Plains 2023,3116,1,1,6,37,Minotaur,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.2821443915923652,0.2734235619545433,2648.2641037625567,2611.2289156626507
X-040979.tif,success,Cooke Plains 2023,3116,1,1,6,37,Minotaur,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.2751696995263629,0.2743910054672896,2606.1979437612727,2553.1261528326745
X-040980.tif,success,Cooke Plains 2023,3116,1,1,6,37,Minotaur,0,0.0,0,0.0,,,,,,,,,,,,,,,,,0.2801677610234259,0.2902182782322638,2598.1082712796074,2520.6580601937744
X-040981.tif,success,Cooke Plains 2023,3119,1,1,7,37,Maximus CL,0,0.0,0,0.0,29.6975,1.095,155.0,157.4,0.04,6.26,1.004,11.0,11.04,1.1,1.768,1.6375,0.9,2.322,0.0,1.0,0.2963288623227379,0.2992533361179501,2454.2765084916596,2416.949685534591
X-040982.tif,success,Cooke Plains 2023,3119,1,1,7,37,Maximus CL,0,0.0,0,0.0,29.6975,1.095,155.0,157.4,0.04,6.26,1.004,11.0,11.04,1.1,1.768,1.6375,0.9,2.322,0.0,1.0,0.4103520455997779,0.4098628739792154,2977.603015638726,2971.92700729927
X-040983.tif,success,Cooke Plains 2023,3119,1,1,7,37,Maximus CL,0,0.0,0,0.0,29.6975,1.095,155.0,157.4,0.04,6.26,1.004,11.0,11.04,1.1,1.768,1.6375,0.9,2.322,0.0,1.0,0.3836993427500459,0.3833371954317074,2674.4944362180277,2673.06272151036
