filename,plot no,block/rep,bay,row,Treatment Simple,Variety,2024-11-15 00:00:00,2024-11-25 00:00:00,2024-12-04 00:00:00,2024-12-12 00:00:00,Lodging 12/12,comp disp,f at break,spike angle,ped curvature,leaf sheath cover,spike Length,spike weight,ped length,internode Length,dist from break,ped dm b,ped dm m,ped dm t,dm at node 2,freq of break at spike,brk at node 2,mean_wall_thickness_mm,median_wall_thickness_mm,mean_per_mm_intensity,median_per_mm_intensity
X-049951.tif,181,1,1,1,UTC,Minotaur,0.0,0.0,1.3333333333333333,1.3333333333333333,N,24.996666666666666,0.42,31.333333333333332,172.33333333333334,0.3333333333333333,5.533333333333334,0.8533333333333334,9.4,7.766666666666667,3.8333333333333335,1.5,1.0966666666666667,0.88,2.16,0.0,0.0,0.3384172692009064,0.3376369289077762,2501.6752642692873,2503.400368300737
X-049952.tif,181,1,1,1,UTC,Minotaur,0.0,0.0,1.3333333333333333,1.3333333333333333,N,24.996666666666666,0.42,31.333333333333332,172.33333333333334,0.3333333333333333,5.533333333333334,0.8533333333333334,9.4,7.766666666666667,3.8333333333333335,1.5,1.0966666666666667,0.88,2.16,0.0,0.0,0.2972924416245727,0.2994069162046904,2426.0192591766004,2424.0042540792538
X-049953.tif,181,1,1,1,UTC,Minotaur,0.0,0.0,1.3333333333333333,1.3333333333333333,N,24.996666666666666,0.42,31.333333333333332,172.33333333333334,0.3333333333333333,5.533333333333334,0.8533333333333334,9.4,7.766666666666667,3.8333333333333335,1.5,1.0966666666666667,0.88,2.16,0.0,0.0,0.3351577501952834,0.3235529056514874,2715.9464872922717,2791.083969465649
X-049954.tif,181,1,1,1,UTC,Minotaur,0.0,0.0,1.3333333333333333,1.3333333333333333,N,24.996666666666666,0.42,31.333333333333332,172.33333333333334,0.3333333333333333,5.533333333333334,0.8533333333333334,9.4,7.766666666666667,3.8333333333333335,1.5,1.0966666666666667,0.88,2.16,0.0,0.0,0.3350253187483059,0.323454836085114,2355.6770310783113,2343.2993893381745
X-049955.tif,181,1,1,1,UTC,Minotaur,0.0,0.0,1.3333333333333333,1.3333333333333333,N,24.996666666666666,0.42,31.333333333333332,172.33333333333334,0.3333333333333333,5.533333333333334,0.8533333333333334,9.4,7.766666666666667,3.8333333333333335,1.5,1.0966666666666667,0.88,2.16,0.0,0.0,0.2665131891786111,0.2673398701958508,2355.082838577469,2350.2988871224165
X-049956.tif,182,1,1,2,UTC,Commodus CL,0.0,0.4444444444444444,1.7777777777777777,0.4444444444444444,N,44.484,0.39799999999999996,34.8,177.2,0.6399999999999999,5.0200000000000005,0.9059999999999999,15.920000000000002,10.9,3.2,1.5739999999999998,1.424,0.7280000000000001,2.46,2.0,0.0,0.4484481677044799,0.4472651649775785,2981.0279652921968,2968.15
X-049957.tif,182,1,1,2,UTC,Commodus CL,0.0,0.4444444444444444,1.7777777777777777,0.4444444444444444,N,44.484,0.39799999999999996,34.8,177.2,0.6399999999999999,5.0200000000000005,0.9059999999999999,15.920000000000002,10.9,3.2,1.5739999999999998,1.424,0.7280000000000001,2.46,2.0,0.0,0.4353978414431601,0.4194342186005878,2645.934098650919,2636.3812154696134
X-049958.tif,182,1,1,2,UTC,Commodus CL,0.0,0.4444444444444444,1.7777777777777777,0.4444444444444444,N,44.484,0.39799999999999996,34.8,177.2,0.6399999999999999,5.0200000000000005,0.9059999999999999,15.920000000000002,10.9,3.2,1.5739999999999998,1.424,0.7280000000000001,2.46,2.0,0.0,0.3555217311327735,0.3555682402516552,2532.753854822659,2526.13973042362
X-049959.tif,182,1,1,2,UTC,Commodus CL,0.0,0.4444444444444444,1.7777777777777777,0.4444444444444444,N,44.484,0.39799999999999996,34.8,177.2,0.6399999999999999,5.0200000000000005,0.9059999999999999,15.920000000000002,10.9,3.2,1.5739999999999998,1.424,0.7280000000000001,2.46,2.0,0.0,1.3986454589096406,1.6930314104154849,3310.9018794523668,3054.8499823383963
X-049960.tif,182,1,1,2,UTC,Commodus CL,0.0,0.4444444444444444,1.7777777777777777,0.4444444444444444,N,44.484,0.39799999999999996,34.8,177.2,0.6399999999999999,5.0200000000000005,0.9059999999999999,15.920000000000002,10.9,3.2,1.5739999999999998,1.424,0.7280000000000001,2.46,2.0,0.0,0.3978035256130752,0.383450878971227,2699.4348501171917,2684.5610480943737
X-049961.tif,183,1,1,3,UTC,RGT Planet,0.0,0.0,2.2222222222222223,2.2222222222222223,N,24.5475,0.32,17.5,180.0,0.25,5.9,0.9175,12.8,11.0,1.925,1.55,1.5950000000000002,0.9075,2.185,1.0,0.0,0.2551441896561514,0.2560310670118135,2468.730798223707,2467.0203363035353
X-049962.tif,183,1,1,3,UTC,RGT Planet,0.0,0.0,2.2222222222222223,2.2222222222222223,N,24.5475,0.32,17.5,180.0,0.25,5.9,0.9175,12.8,11.0,1.925,1.55,1.5950000000000002,0.9075,2.185,1.0,0.0,0.2656685779539623,0.2687706610721661,2417.727946951852,2419.5798319327732
X-049963.tif,183,1,1,3,UTC,RGT Planet,0.0,0.0,2.2222222222222223,2.2222222222222223,N,24.5475,0.32,17.5,180.0,0.25,5.9,0.9175,12.8,11.0,1.925,1.55,1.5950000000000002,0.9075,2.185,1.0,0.0,0.2504010752363781,0.2504010752363781,2408.920197796454,2404.7573529411766
X-049964.tif,183,1,1,3,UTC,RGT Planet,0.0,0.0,2.2222222222222223,2.2222222222222223,N,24.5475,0.32,17.5,180.0,0.25,5.9,0.9175,12.8,11.0,1.925,1.55,1.5950000000000002,0.9075,2.185,1.0,0.0,0.0,0.0,2431.3819990024695,2432.164021164021
X-049965.tif,183,1,1,3,UTC,RGT Planet,0.0,0.0,2.2222222222222223,2.2222222222222223,N,24.5475,0.32,17.5,180.0,0.25,5.9,0.9175,12.8,11.0,1.925,1.55,1.5950000000000002,0.9075,2.185,1.0,0.0,0.4227299299516374,0.3810044474205442,2588.2582346185086,2539.6790981879476
